iter	Passed	Remaining
0	4	760
1	8	774
2	12	760
3	18	828
4	22	804
5	27	788
6	32	800
7	36	785
8	41	781
9	45	770
10	49	759
11	59	839
12	64	824
13	68	815
14	73	807
15	77	795
16	83	799
17	87	787
18	93	790
19	98	789
20	102	779
21	107	772
22	111	763
23	116	758
24	120	748
25	125	741
26	129	735
27	133	726
28	138	718
29	141	709
30	147	710
31	152	707
32	157	699
33	162	697
34	169	702
35	173	693
36	176	683
37	180	675
38	184	665
39	187	656
40	191	648
41	195	642
42	198	633
43	202	625
44	211	633
45	215	629
46	219	622
47	223	613
48	227	608
49	232	603
50	235	596
51	239	589
52	243	583
53	247	576
54	250	569
55	254	563
56	258	556
57	261	549
58	265	543
59	268	537
60	271	530
61	275	524
62	280	521
63	284	516
64	288	511
65	293	506
66	297	500
67	300	494
68	304	489
69	307	483
70	311	478
71	314	472
72	318	466
73	321	461
74	324	454
75	328	449
76	332	444
77	336	439
78	339	433
79	343	428
80	346	423
81	349	417
82	352	411
83	354	405
84	357	399
85	360	393
86	362	387
87	365	382
88	367	376
89	370	370
90	372	364
91	376	359
92	378	354
93	382	350
94	385	344
95	387	339
96	390	333
97	392	328
98	394	322
99	396	317
100	399	312
101	401	307
102	404	302
103	407	297
104	409	292
105	411	287
106	413	282
107	415	276
108	417	271
109	419	266
110	421	261
111	423	256
112	425	252
113	427	247
114	429	242
115	431	237
116	433	233
117	435	228
118	437	224
119	439	219
120	441	215
121	443	210
122	445	206
123	447	201
124	449	197
125	451	193
126	453	189
127	455	184
128	457	180
129	459	176
130	460	172
131	462	168
132	464	164
133	466	160
134	468	156
135	470	152
136	472	148
137	474	144
138	476	140
139	478	136
140	480	132
141	482	129
142	484	125
143	486	121
144	488	117
145	490	114
146	492	110
147	494	106
148	496	103
149	498	99
150	501	96
151	503	92
152	505	89
153	507	85
154	509	82
155	511	78
156	513	75
157	515	71
158	517	68
159	519	64
160	521	61
161	523	58
162	525	54
163	526	51
164	528	48
165	530	44
166	532	41
167	534	38
168	536	34
169	538	31
170	540	28
171	541	25
172	543	22
173	545	18
174	547	15
175	549	12
176	551	9
177	553	6
178	555	3
179	556	0
705	0
9	713	0
